Connecting to host 10.45.1.7, port 5361
[  5] local 10.45.1.1 port 35414 connected to 10.45.1.7 port 5361
[  5] 212.00-213.00 sec  0.00 Bytes  0.00 bits/sec    0   1.45 MBytes       
[  5] 213.00-214.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.56 MBytes       
[  5] 214.00-215.00 sec  0.00 Bytes  0.00 bits/sec    2   1.69 MBytes       
[  5] 215.00-216.00 sec  0.00 Bytes  0.00 bits/sec    0   1.48 MBytes       
[  5] 216.00-217.00 sec  0.00 Bytes  0.00 bits/sec    0   1.05 MBytes       
[  5] 217.00-218.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.20 MBytes       
[  5] 218.00-219.00 sec  0.00 Bytes  0.00 bits/sec    0   1.27 MBytes       
[  5] 219.00-220.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.35 MBytes       
[  5] 220.00-221.00 sec  0.00 Bytes  0.00 bits/sec    0   1.42 MBytes       
[  5] 221.00-222.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.49 MBytes       
[  5] 222.00-223.00 sec  0.00 Bytes  0.00 bits/sec    0   1.55 MBytes       
[  5] 223.00-224.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.59 MBytes       
[  5] 224.00-225.00 sec  0.00 Bytes  0.00 bits/sec    0   1.63 MBytes       
[  5] 225.00-226.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.65 MBytes       
[  5] 226.00-227.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.67 MBytes       
[  5] 227.00-228.00 sec  0.00 Bytes  0.00 bits/sec    0   1.68 MBytes       
[  5] 228.00-229.00 sec  0.00 Bytes  0.00 bits/sec    0   1.68 MBytes       
[  5] 229.00-230.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.69 MBytes       
[  5] 230.00-231.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.70 MBytes       
[  5] 231.00-232.00 sec  0.00 Bytes  0.00 bits/sec    0   1.72 MBytes       
[  5] 232.00-233.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.74 MBytes       
[  5] 233.00-234.00 sec  0.00 Bytes  0.00 bits/sec    0   1.77 MBytes       
[  5] 234.00-235.00 sec  0.00 Bytes  0.00 bits/sec    3   1.62 MBytes       
[  5] 235.00-236.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.09 MBytes       
[  5] 236.00-237.00 sec  1.25 MBytes  10.5 Mbits/sec    2   1.25 MBytes       
[  5] 237.00-238.00 sec  0.00 Bytes  0.00 bits/sec    0   1.25 MBytes       
[  5] 238.00-239.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.26 MBytes       
[  5] 239.00-240.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.33 MBytes       
[  5] 240.00-241.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 MBytes       
[  5] 241.00-242.00 sec  0.00 Bytes  0.00 bits/sec    0   1.49 MBytes       
[  5] 242.00-243.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.56 MBytes       
[  5] 243.00-244.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.62 MBytes       
[  5] 244.00-245.00 sec  0.00 Bytes  0.00 bits/sec    0   1.66 MBytes       
[  5] 245.00-246.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.70 MBytes       
[  5] 246.00-247.00 sec  0.00 Bytes  0.00 bits/sec    0   1.72 MBytes       
[  5] 247.00-248.00 sec  0.00 Bytes  0.00 bits/sec    8   1.52 MBytes       
[  5] 248.00-249.00 sec  0.00 Bytes  0.00 bits/sec    0   1.12 MBytes       
[  5] 249.00-250.00 sec  2.50 MBytes  21.0 Mbits/sec    0   1.21 MBytes       
[  5] 250.00-251.00 sec  0.00 Bytes  0.00 bits/sec    0   1.24 MBytes       
[  5] 251.00-252.00 sec  1.25 MBytes  10.5 Mbits/sec    0   1.29 MBytes       
[  5] 252.00-253.00 sec  0.00 Bytes  0.00 bits/sec   15   1.16 MBytes       
[  5] 253.00-254.00 sec  0.00 Bytes  0.00 bits/sec    0    969 KBytes       
[  5] 254.00-255.00 sec  1.25 MBytes  10.5 Mbits/sec    7    895 KBytes       
[  5] 255.00-256.00 sec  1.25 MBytes  10.5 Mbits/sec    0    682 KBytes       
[  5] 256.00-257.00 sec  1.25 MBytes  10.5 Mbits/sec    0    680 KBytes       
[  5] 257.00-258.00 sec  0.00 Bytes  0.00 bits/sec    0    717 KBytes       
